Safe File	Vulnerable File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE352_flask-wtf-csrf-disabled_SAFE.txt	CWE352_flask-wtf-csrf-disabled_VULN5.txt	0.0140	0.7528	0.9860	1.000000	0.86940	0.8833333333333333	Strong
CWE352_pyramid-csrf-check-disabled_SAFE.txt	CWE352_pyramid-csrf-check-disabled_VULN1.txt	0.0578	0.9006	0.9422	1.000000	0.92140	0.8833333333333333	Strong
CWE352_pyramid-csrf-check-disabled_SAFE.txt	CWE352_pyramid-csrf-check-disabled_VULN2.txt	0.0578	0.8907	0.9422	1.000000	0.91645	0.8833333333333333	Strong
CWE352_pyramid-csrf-check-disabled_SAFE.txt	CWE352_pyramid-csrf-check-disabled_VULN3.txt	0.0713	0.8749	0.9287	1.000000	0.90180	0.8833333333333333	Strong
CWE352_pyramid-csrf-check-disabled_SAFE.txt	CWE352_pyramid-csrf-check-disabled_VULN4.txt	0.0713	0.9190	0.9287	1.000000	0.92385	0.8833333333333333	Strong
CWE352_pyramid-csrf-check-disabled_SAFE.txt	CWE352_pyramid-csrf-check-disabled_VULN5.txt	0.0790	0.9167	0.9210	1.000000	0.91885	0.8833333333333333	Strong
CWE489_avoid_hardcoded_config_DEBUG_SAFE.txt	CWE489_avoid_hardcoded_config_DEBUG_VULN1.txt	0.0015	0.8106	0.9985	1.000000	0.90455	0.8833333333333333	Strong
CWE489_avoid_hardcoded_config_DEBUG_SAFE.txt	CWE489_avoid_hardcoded_config_DEBUG_VULN2.txt	0.0015	0.8331	0.9985	1.000000	0.91580	0.8833333333333333	Strong
CWE489_avoid_hardcoded_config_DEBUG_SAFE.txt	CWE489_avoid_hardcoded_config_DEBUG_VULN3.txt	0.0015	0.7218	0.9985	1.000000	0.86015	0.8833333333333333	Strong
CWE489_avoid_hardcoded_config_DEBUG_SAFE.txt	CWE489_avoid_hardcoded_config_DEBUG_VULN4.txt	0.0015	0.6715	0.9985	1.000000	0.83500	0.8833333333333333	Strong
CWE489_avoid_hardcoded_config_DEBUG_SAFE.txt	CWE489_avoid_hardcoded_config_DEBUG_VULN5.txt	0.0015	0.7486	0.9985	1.000000	0.87355	0.8833333333333333	Strong
CWE489_debug-enabled_SAFE.txt	CWE489_debug-enabled_VULN1.txt	0.0015	0.7672	0.9985	1.000000	0.88285	0.8833333333333333	Strong
CWE489_debug-enabled_SAFE.txt	CWE489_debug-enabled_VULN2.txt	0.0015	0.7783	0.9985	1.000000	0.88840	0.8833333333333333	Strong
CWE489_debug-enabled_SAFE.txt	CWE489_debug-enabled_VULN3.txt	0.0015	0.8127	0.9985	1.000000	0.90560	0.8833333333333333	Strong
CWE489_debug-enabled_SAFE.txt	CWE489_debug-enabled_VULN4.txt	0.0015	0.6787	0.9985	1.000000	0.83860	0.8833333333333333	Strong
CWE489_debug-enabled_SAFE.txt	CWE489_debug-enabled_VULN5.txt	0.0015	0.8212	0.9985	1.000000	0.90985	0.8833333333333333	Strong
CWE614_pyramid-set-cookie-secure-unsafe-value_SAFE.txt	CWE614_pyramid-set-cookie-secure-unsafe-value_VULN1.txt	0.0015	0.6392	0.9985	1.000000	0.81885	0.8833333333333333	Strong
CWE614_pyramid-set-cookie-secure-unsafe-value_SAFE.txt	CWE614_pyramid-set-cookie-secure-unsafe-value_VULN2.txt	0.0059	0.8134	0.6627	0.666667	0.73805	0.829032134853019	Strong
CWE614_pyramid-set-cookie-secure-unsafe-value_SAFE.txt	CWE614_pyramid-set-cookie-secure-unsafe-value_VULN3.txt	0.0015	0.7218	0.9985	1.000000	0.86015	0.8833333333333333	Strong
CWE614_pyramid-set-cookie-secure-unsafe-value_SAFE.txt	CWE614_pyramid-set-cookie-secure-unsafe-value_VULN4.txt	0.0015	0.8331	0.9985	1.000000	0.91580	0.8833333333333333	Strong
CWE614_pyramid-set-cookie-secure-unsafe-value_SAFE.txt	CWE614_pyramid-set-cookie-secure-unsafe-value_VULN5.txt	0.0015	0.6577	0.9985	1.000000	0.82810	0.8833333333333333	Strong
CWE79_global-autoescape-off_SAFE.txt	CWE79_global-autoescape-off_VULN1.txt	0.0110	0.8596	0.9890	1.000000	0.92430	0.8833333333333333	Strong
CWE79_global-autoescape-off_SAFE.txt	CWE79_global-autoescape-off_VULN2.txt	0.0110	0.8596	0.9890	1.000000	0.92430	0.8833333333333333	Strong
CWE79_global-autoescape-off_SAFE.txt	CWE79_global-autoescape-off_VULN3.txt	0.0110	0.8596	0.9890	1.000000	0.92430	0.8833333333333333	Strong
CWE79_global-autoescape-off_SAFE.txt	CWE79_global-autoescape-off_VULN4.txt	0.0110	0.8596	0.9890	1.000000	0.92430	0.8833333333333333	Strong
CWE79_global-autoescape-off_SAFE.txt	CWE79_global-autoescape-off_VULN5.txt	0.0110	0.8596	0.9890	1.000000	0.92430	0.8833333333333333	Strong
