input_file | variant | output_file | fitness | tools_passed | tools_run | ast_norm_distance
/driveD/codes_breaker_project/CA/CWE326_insufficient-dsa-key-size.txt | VULN_1 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-dsa-key-size_sv5/CWE326_insufficient-dsa-key-size_VULN_1.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-dsa-key-size.txt | VULN_2 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-dsa-key-size_sv5/CWE326_insufficient-dsa-key-size_VULN_2.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-dsa-key-size.txt | VULN_3 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-dsa-key-size_sv5/CWE326_insufficient-dsa-key-size_VULN_3.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-dsa-key-size.txt | VULN_4 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-dsa-key-size_sv5/CWE326_insufficient-dsa-key-size_VULN_4.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-dsa-key-size.txt | VULN_5 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-dsa-key-size_sv5/CWE326_insufficient-dsa-key-size_VULN_5.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-rsa-key-size.txt | SAFE | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-rsa-key-size_sv5/CWE326_insufficient-rsa-key-size_SAFE.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-rsa-key-size.txt | VULN_1 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-rsa-key-size_sv5/CWE326_insufficient-rsa-key-size_VULN_1.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-rsa-key-size.txt | VULN_2 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-rsa-key-size_sv5/CWE326_insufficient-rsa-key-size_VULN_2.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-rsa-key-size.txt | VULN_3 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-rsa-key-size_sv5/CWE326_insufficient-rsa-key-size_VULN_3.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-rsa-key-size.txt | VULN_4 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-rsa-key-size_sv5/CWE326_insufficient-rsa-key-size_VULN_4.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE326_insufficient-rsa-key-size.txt | VULN_5 | /driveD/codes_breaker_project/CA_sv/CWE326_insufficient-rsa-key-size_sv5/CWE326_insufficient-rsa-key-size_VULN_5.txt | 0.7301 | 0 | 0 | 0.2699
/driveD/codes_breaker_project/CA/CWE352_flask-wtf-csrf-disabled.txt | SAFE | /driveD/codes_breaker_project/CA_sv/CWE352_flask-wtf-csrf-disabled_sv5/CWE352_flask-wtf-csrf-disabled_SAFE.txt | 0.8354 | 0 | 0 | 0.1646
/driveD/codes_breaker_project/CA/CWE352_flask-wtf-csrf-disabled.txt | VULN_1 | /driveD/codes_breaker_project/CA_sv/CWE352_flask-wtf-csrf-disabled_sv5/CWE352_flask-wtf-csrf-disabled_VULN_1.txt | 0.8476 | 0 | 0 | 0.1524
