Safe File	Vulnerable File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE22_path-traversal-join-1_SAFE.txt	CWE22_path-traversal-join-1_VULN1.txt	0.0792	0.9193	0.6138	0.666667	0.76655	0.8785894930498773	Strong
CWE22_path-traversal-join-1_SAFE.txt	CWE22_path-traversal-join-1_VULN2.txt	0.0330	0.9718	0.6447	0.666667	0.80825	0.8833333333333333	Strong
CWE22_path-traversal-join-1_SAFE.txt	CWE22_path-traversal-join-1_VULN3.txt	0.0117	0.8911	0.6588	0.666667	0.77495	0.8805452299343045	Strong
CWE22_path-traversal-join-1_SAFE.txt	CWE22_path-traversal-join-1_VULN4.txt	0.0330	0.9786	0.6447	0.666667	0.81165	0.8833333333333333	Strong
CWE22_path-traversal-join-1_SAFE.txt	CWE22_path-traversal-join-1_VULN5.txt	0.0566	0.8877	0.6290	0.666667	0.75835	0.87629326753051	Strong
CWE22_path-traversal-join_func = open-data = func_SAFE.txt	CWE22_path-traversal-join_func = open-data = func_VULN1.txt	0.0792	0.9190	0.6138	0.666667	0.76640	0.8785507625272331	Strong
CWE22_path-traversal-join_func = open-data = func_SAFE.txt	CWE22_path-traversal-join_func = open-data = func_VULN2.txt	0.0330	0.9718	0.6447	0.666667	0.80825	0.8833333333333333	Strong
CWE22_path-traversal-join_func = open-data = func_SAFE.txt	CWE22_path-traversal-join_func = open-data = func_VULN3.txt	0.0330	0.9651	0.6447	0.666667	0.80490	0.8833333333333333	Strong
CWE22_path-traversal-join_func = open-data = func_SAFE.txt	CWE22_path-traversal-join_func = open-data = func_VULN4.txt	0.0330	0.9651	0.6447	0.666667	0.80490	0.8833333333333333	Strong
CWE22_path-traversal-join_func = open-data = func_SAFE.txt	CWE22_path-traversal-join_func = open-data = func_VULN5.txt	0.0007	0.9629	0.6662	0.666667	0.81455	0.8833333333333333	Strong
CWE22_path-traversal-join_ori_SAFE.txt	CWE22_path-traversal-join_ori_VULN1.txt	0.0792	0.9128	0.6138	0.666667	0.76330	0.8777222936380408	Strong
CWE22_path-traversal-join_ori_SAFE.txt	CWE22_path-traversal-join_ori_VULN2.txt	0.0792	0.9007	0.6138	0.666667	0.75725	0.8759588197146564	Strong
CWE22_path-traversal-join_ori_SAFE.txt	CWE22_path-traversal-join_ori_VULN3.txt	0.0330	0.9786	0.6447	0.666667	0.81165	0.8833333333333333	Strong
CWE22_path-traversal-join_ori_SAFE.txt	CWE22_path-traversal-join_ori_VULN4.txt	0.0007	0.9629	0.6662	0.666667	0.81455	0.8833333333333333	Strong
CWE22_path-traversal-join_ori_SAFE.txt	CWE22_path-traversal-join_ori_VULN5.txt	0.0007	0.9603	0.6662	0.666667	0.81325	0.8833333333333333	Strong
CWE22_path-traversal-join_SAFE.txt	CWE22_path-traversal-join_VULN1.txt	0.1263	0.8807	0.5825	0.666667	0.73160	0.8067598666864826	Strong
CWE22_path-traversal-join_SAFE.txt	CWE22_path-traversal-join_VULN2.txt	0.1263	0.8266	0.5825	0.666667	0.70455	0.7225367775062636	Strong
CWE22_path-traversal-join_SAFE.txt	CWE22_path-traversal-join_VULN3.txt	0.1263	0.8175	0.5825	0.666667	0.70000	0.7093009449538066	Strong
