Safe File	Obfu File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE22_path-traversal-join_func = open-data = func_SAFE2.txt	CWE22_path-traversal-join_func = open-data = func_obfu.txt	0.2790	0.7825	0.7210	1.0	0.75175	0.807650499132493	Strong
CWE22_path-traversal-join_func = open-data = func_SAFE3.txt	CWE22_path-traversal-join_func = open-data = func_obfu.txt	0.1953	0.8454	0.8047	1.0	0.82505	0.8833333333333333	Strong
CWE22_path-traversal-join_func = open-data = func_SAFE4.txt	CWE22_path-traversal-join_func = open-data = func_obfu.txt	0.2790	0.7952	0.7210	1.0	0.75810	0.8108047004861739	Strong
CWE22_path-traversal-join_func = open-data = func_SAFE5.txt	CWE22_path-traversal-join_func = open-data = func_obfu.txt	0.2020	0.8308	0.7980	1.0	0.81440	0.8833333333333333	Strong
CWE22_path-traversal-join_ori_SAFE1.txt	CWE22_path-traversal-join_ori_obfu.txt	0.1927	0.7239	0.8073	1.0	0.76560	0.8783420583273078	Strong
CWE22_path-traversal-join_ori_SAFE2.txt	CWE22_path-traversal-join_ori_obfu.txt	0.2668	0.6697	0.7332	1.0	0.70145	0.7927760233054642	Strong
CWE22_path-traversal-join_ori_SAFE3.txt	CWE22_path-traversal-join_ori_obfu.txt	0.2325	0.7364	0.7675	1.0	0.75195	0.8742662529103198	Strong
CWE22_path-traversal-join_ori_SAFE4.txt	CWE22_path-traversal-join_ori_obfu.txt	0.1970	0.7131	0.8030	1.0	0.75805	0.8762026468119589	Strong
CWE22_path-traversal-join_ori_SAFE5.txt	CWE22_path-traversal-join_ori_obfu.txt	0.1536	0.7275	0.8464	1.0	0.78695	0.882520959828274	Strong
CWE319_telnetlib_SAFE1.txt	CWE319_telnetlib_obfu.txt	0.1960	0.3822	0.8040	1.0	0.59310	0.5376753057503448	Moderate
CWE319_telnetlib_SAFE2.txt	CWE319_telnetlib_obfu.txt	0.1960	0.3822	0.8040	1.0	0.59310	0.5376753057503448	Moderate
CWE319_telnetlib_SAFE3.txt	CWE319_telnetlib_obfu.txt	0.1960	0.3822	0.8040	1.0	0.59310	0.5376753057503448	Moderate
CWE319_telnetlib_SAFE4.txt	CWE319_telnetlib_obfu.txt	0.2020	0.3822	0.7980	1.0	0.59010	0.5376753057503448	Moderate
CWE319_telnetlib_SAFE5.txt	CWE319_telnetlib_obfu.txt	0.1960	0.3822	0.8040	1.0	0.59310	0.5376753057503448	Moderate
CWE319_use-ftp-tls_SAFE1.txt	CWE319_use-ftp-tls_obfu.txt	0.1657	0.4814	0.8343	1.0	0.65785	0.873113142218913	Strong
CWE319_use-ftp-tls_SAFE2.txt	CWE319_use-ftp-tls_obfu.txt	0.4677	0.5755	0.5323	1.0	0.55390	0.5499999999999999	Moderate
CWE319_use-ftp-tls_SAFE3.txt	CWE319_use-ftp-tls_obfu.txt	0.1960	0.3822	0.8040	1.0	0.59310	0.5376753057503448	Moderate
CWE319_use-ftp-tls_SAFE4.txt	CWE319_use-ftp-tls_obfu.txt	0.2058	0.6277	0.7942	1.0	0.71095	0.8706514734125552	Strong
CWE319_use-ftp-tls_SAFE5.txt	CWE319_use-ftp-tls_obfu.txt	0.1657	0.4814	0.8343	1.0	0.65785	0.873113142218913	Strong
CWE327_insecure-cipher-algorithm-rc2_SAFE1.txt	CWE327_insecure-cipher-algorithm-rc2_obfu.txt	0.8409	0.0873	0.1591	1.0	0.12320	0.13333333333333325	Weak
CWE327_insecure-cipher-algorithm-rc2_SAFE2.txt	CWE327_insecure-cipher-algorithm-rc2_obfu.txt	0.5602	0.3955	0.4398	1.0	0.41765	0.5243397561693385	Moderate
CWE327_insecure-cipher-algorithm-rc2_SAFE3.txt	CWE327_insecure-cipher-algorithm-rc2_obfu.txt	0.8945	0.0913	0.1055	1.0	0.09840	0.13333333333333325	Weak
CWE327_insecure-cipher-algorithm-rc2_SAFE4.txt	CWE327_insecure-cipher-algorithm-rc2_obfu.txt	0.5821	0.3548	0.4179	1.0	0.38635	0.3712256965158284	Moderate
CWE327_insecure-cipher-algorithm-rc2_SAFE5.txt	CWE327_insecure-cipher-algorithm-rc2_obfu.txt	0.8329	0.0974	0.1671	1.0	0.13225	0.13333333333333325	Weak
CWE327_insecure-hash-algorithm-sha1_SAFE1.txt	CWE327_insecure-hash-algorithm-sha1_obfu.txt	0.6844	0.2153	0.3156	1.0	0.26545	0.13333333333333325	Weak
CWE327_insecure-hash-algorithm-sha1_SAFE2.txt	CWE327_insecure-hash-algorithm-sha1_obfu.txt	0.7738	0.2339	0.2262	1.0	0.23005	0.13333333333333325	Weak
CWE327_insecure-hash-algorithm-sha1_SAFE3.txt	CWE327_insecure-hash-algorithm-sha1_obfu.txt	0.7261	0.2342	0.2739	1.0	0.25405	0.13333333333333325	Weak
