                                                                           Safe File                                                                           Obfu File  AST Distance  Conceptual Similarity  Fitness  Pass Rate  Score Value
                                       CWE327_insecure-hash-algorithm-sha1_SAFE5.txt                                        CWE327_insecure-hash-algorithm-sha1_obfu.txt        0.7921                 0.2361   0.2079        1.0      0.22200
                                                     CWE352_no-csrf-exempt_SAFE1.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.3171                 0.5372   0.6829        1.0      0.61005
                                                     CWE352_no-csrf-exempt_SAFE2.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.3482                 0.5294   0.6518        1.0      0.59060
                                                     CWE352_no-csrf-exempt_SAFE3.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.2126                 0.5665   0.7874        1.0      0.67695
                                                     CWE352_no-csrf-exempt_SAFE4.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.4074                 0.6200   0.5926        1.0      0.60630
                                                     CWE352_no-csrf-exempt_SAFE5.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.2809                 0.7404   0.7191        1.0      0.72975
                                                       CWE502_avoid-pickle_SAFE1.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4633                 0.1533   0.5367        1.0      0.34500
                                                       CWE502_avoid-pickle_SAFE2.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4767                 0.1533   0.5233        1.0      0.33830
                                                       CWE502_avoid-pickle_SAFE3.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4767                 0.1533   0.5233        1.0      0.33830
                                                       CWE502_avoid-pickle_SAFE4.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4633                 0.1533   0.5367        1.0      0.34500
                                                       CWE502_avoid-pickle_SAFE5.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4767                 0.1533   0.5233        1.0      0.33830
                                                  CWE502_avoid-pickle-orig_SAFE1.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.3936                 0.3310   0.6064        1.0      0.46870
                                                  CWE502_avoid-pickle-orig_SAFE2.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.1980                 0.3822   0.8020        1.0      0.59210
                                                  CWE502_avoid-pickle-orig_SAFE3.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                  CWE502_avoid-pickle-orig_SAFE4.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                  CWE502_avoid-pickle-orig_SAFE5.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                 CWE502_avoid-pickle-try-1_SAFE1.txt                                                  CWE502_avoid-pickle-try-1_obfu.txt        0.7849                 0.3107   0.2151        1.0      0.26290
                                                 CWE502_avoid-pickle-try-1_SAFE2.txt                                                  CWE502_avoid-pickle-try-1_obfu.txt        0.7711                 0.3062   0.2289        1.0      0.26755
                                                 CWE502_avoid-pickle-try-1_SAFE3.txt                                                  CWE502_avoid-pickle-try-1_obfu.txt        0.7593                 0.2153   0.2407        1.0      0.22800
                                                 CWE502_avoid-pickle-try-1_SAFE4.txt                                                  CWE502_avoid-pickle-try-1_obfu.txt        0.6656                 0.2762   0.3344        1.0      0.30530
                                                 CWE502_avoid-pickle-try-1_SAFE5.txt                                                  CWE502_avoid-pickle-try-1_obfu.txt        0.2669                 0.4484   0.7331        1.0      0.59075
                                                      CWE502_marshal-usage_SAFE1.txt                                                       CWE502_marshal-usage_obfu.txt        0.3324                 0.6657   0.6676        1.0      0.66665
                                                      CWE502_marshal-usage_SAFE2.txt                                                       CWE502_marshal-usage_obfu.txt        0.2847                 0.6458   0.7153        1.0      0.68055
                                                      CWE502_marshal-usage_SAFE3.txt                                                       CWE502_marshal-usage_obfu.txt        0.3480                 0.6144   0.6520        1.0      0.63320
                                                      CWE502_marshal-usage_SAFE4.txt                                                       CWE502_marshal-usage_obfu.txt        0.4270                 0.5761   0.5730        1.0      0.57455
                                                      CWE502_marshal-usage_SAFE5.txt                                                       CWE502_marshal-usage_obfu.txt        0.3324                 0.6657   0.6676        1.0      0.66665
                                       CWE668_avoid_using_app_run_directly_SAFE1.txt                                        CWE668_avoid_using_app_run_directly_obfu.txt        0.4589                 0.4799   0.5411        1.0      0.51050
                                       CWE668_avoid_using_app_run_directly_SAFE2.txt                                        CWE668_avoid_using_app_run_directly_obfu.txt        0.4589                 0.4799   0.5411        1.0      0.51050
                                       CWE668_avoid_using_app_run_directly_SAFE3.txt                                        CWE668_avoid_using_app_run_directly_obfu.txt        0.4443                 0.4518   0.5557        1.0      0.50375
                                       CWE668_avoid_using_app_run_directly_SAFE4.txt                                        CWE668_avoid_using_app_run_directly_obfu.txt        0.2346                 0.6704   0.7654        1.0      0.71790
                                       CWE668_avoid_using_app_run_directly_SAFE5.txt                                        CWE668_avoid_using_app_run_directly_obfu.txt        0.5792                 0.3608   0.4208        1.0      0.39080
